design_order,design_id,suite,family_id,decision_type,title,decision_object,intervention_mechanism,primary_outcome,horizon,spatial_unit,binding_constraint_kind,evidence_gate_type,analysis_modes,required_source_roles,implementation_status,current_readiness,existing_template_ref,city_bindings,method_claimed,design_signature,content_hash
93,scenario.health.air-quality.respiratory-protection.v1,population-health-environmental-exposure,health.air-quality,allocate,Allocate respiratory protection and outreach resources,air-pollution respiratory protection resources,"exposure-, vulnerability-, and access-constrained allocation",high-risk people without assigned protection support,weeks,population-group,equity,equity-measurement,simulation|optimization,community-input|environmental-exposure|equity-attribute|geographic-identity|health-outcome|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:f424fab809d1666e9d1f97051af93a4ea822957fcfedf6115f4b369480641c16,sha256:5d63dda3f899818bf5e9c6d522269f1fc612f3d58ee4ccf6f89ae40a54d48ead
94,scenario.health.air-quality.air-health-response.v1,population-health-environmental-exposure,health.air-quality,schedule,Schedule air-quality alerts and health response,air-quality health alert and response schedule,forecast-monitor-syndrome trigger scheduling,high-exposure hours without active protection measures,weeks,citywide,time,temporal-alignment,forecast|optimization,environmental-exposure|geographic-identity|health-outcome|operating-capacity|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:dcf05c4fb93e34d1a0e5468e0f197165bea3353299da657e2e471d0443ee03c1,sha256:663e6cb1a54f8d5cb9e303d3164449f65592fba13ec75c2abc83956bf57407e3
95,scenario.health.air-quality.pollution-health-continuity.v1,population-health-environmental-exposure,health.air-quality,stress-test,Stress-test respiratory-health continuity during pollution episodes,respiratory-health continuity under prolonged pollution,"pollution-duration, infiltration, demand, and facility failure simulation",scenario-weighted unmet respiratory protection and care demand,seasonal,network,risk,external-validation,forecast|simulation|optimization,asset-condition|environmental-exposure|facility-inventory|geographic-identity|health-outcome|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:f2ff9dd9890de9a7c4f860845a4b9efbc0ec38fddaf853de51cc87ff0dd0716c,sha256:fc73d5d070d067e6e2f6df6cfb637589b719281b04713e6e6c06bafd0852eda8
96,scenario.health.air-quality.clean-air-program-effect.v1,population-health-environmental-exposure,health.air-quality,evaluate,Evaluate clean-air protection and source-control effects,phased clean-air protection and source-control intervention,staggered adoption evaluation with exposure and health panels,change in measured exposure and respiratory-event rate,multi-year,population-group,equity,causal-identification,descriptive|causal,environmental-exposure|equity-attribute|geographic-identity|health-outcome|intervention-assignment|legal-regulatory|outcome-panel,design-only,blocked-multiple-gates,,0,false,sha256:921fd951a8f5d81d807dbfced3210c0fab7f2a5e5aa0f818e914ad57daae3d0f,sha256:dec24756ee7d5eb30a2e533f65232c316db567754dc3807f22ac14ffb84e24c6
97,scenario.health.infectious-operations.surveillance-discordance.v1,population-health-environmental-exposure,health.infectious-operations,diagnose,Diagnose infectious-disease surveillance discordance,infectious-disease surveillance signal discordance,multi-stream nowcast residual and change-point diagnosis,unresolved abnormal surveillance signals,annual,service-area,technical,geographic-alignment,descriptive,demographic-context|environmental-exposure|geographic-identity|health-outcome|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:188f99c226b5d251b2b1f03ca1e881e9290bf3c6e7a9194ca0169df00c08f664,sha256:2c3241b59aa68f1439208a15da125c43417ab545fc432a461d8f45973e423047
98,scenario.health.infectious-operations.care-testing-demand.v1,population-health-environmental-exposure,health.infectious-operations,forecast,Forecast infectious-disease care and testing demand,infectious-disease response workload,reporting-delay-aware multistream demand forecasting,care and testing demand above staffed capacity,weeks,service-area,capacity,model-calibration,forecast,geographic-identity|health-outcome|operating-capacity|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:1d3961a3a8a7866c3bbd50f4845c5091657b78db7f0d4249d70cf2ef8cd47acd,sha256:a527928311220c7d60df6085c0cdd1f0bea5fb9d0b7d3bd1cc772dde563a3148
99,scenario.health.infectious-operations.preparedness-portfolio.v1,population-health-environmental-exposure,health.infectious-operations,prioritize,Prioritize infectious-disease preparedness investments,infectious-disease preparedness portfolio,multi-pathogen readiness and lifecycle portfolio optimization,expected essential response-capacity shortfall,multi-year,asset,budget,cost-capacity,descriptive|optimization,asset-inventory|community-input|financial-cost|geographic-identity|health-outcome|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:87ed6ee7be4fd134892ee4bdbb6c72b8f705bb64990656a14cef786e8f42761e,sha256:7ee5511ff58dc1424413c4cc9c362447085d4e8c4793857ee4974cc14d14947e
100,scenario.health.infectious-operations.testing-vaccination-sites.v1,population-health-environmental-exposure,health.infectious-operations,site,"Site accessible testing, vaccination, and treatment access points",temporary infectious-disease service locations,capacitated access and infection-control facility siting,eligible population beyond timely qualified service access,multi-year,facility,regulatory,legal-authority,simulation|optimization,equity-attribute|facility-inventory|geographic-identity|health-outcome|operating-capacity|transport-network,design-only,blocked-missing-source,,0,false,sha256:a7e6acd6efe63b4193a03dd2b7cf2876582921b810c4d82c158359a22a226798,sha256:f2f7791b2e22af98c4dc302085b408a2e0d49ec302f9141fe021841b9b0544f9
101,scenario.health.infectious-operations.vaccines-tests-treatment.v1,population-health-environmental-exposure,health.infectious-operations,allocate,"Allocate vaccines, tests, treatment, and outreach",infectious-disease prevention and treatment resources,clinical-priority and minimum-access allocation,eligible need without assigned service capacity,weeks,population-group,equity,equity-measurement,simulation|optimization,equity-attribute|geographic-identity|health-outcome|legal-regulatory|operating-capacity|real-time-state,design-only,blocked-missing-source,,0,false,sha256:38f0d39b29d77cef38ec24b127aaa5fbaf9032fd7635601ab7be0503db0c9bf1,sha256:babf3782c979a09aeeaf2ec2b3e99e78fbaf46d9a8db9ae1a2c1e848ca51962b
102,scenario.health.infectious-operations.clinic-lab-calendar.v1,population-health-environmental-exposure,health.infectious-operations,schedule,"Schedule clinics, laboratories, and outreach teams","infectious-disease clinic, laboratory, and outreach schedule","demand-, cold-chain-, and turnaround-constrained scheduling",priority demand outside service and turnaround targets,weeks,network,time,temporal-alignment,forecast|optimization,facility-inventory|geographic-identity|health-outcome|operating-capacity|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:518d041a74190cfc7a55436cc6bbba865bd6827c96678e5de45c808c1745b0b1,sha256:3c329019d78f38abc595af9a0f35b2d77aefe4e1916eabca9787cce53015e866
103,scenario.health.infectious-operations.multi-pathogen-surge.v1,population-health-environmental-exposure,health.infectious-operations,stress-test,Stress-test public-health operations under multi-pathogen surge,infectious-disease operations under correlated surge,"multi-pathogen demand, workforce, supply, and facility failure simulation",scenario-weighted unmet priority health-service demand,seasonal,network,risk,external-validation,forecast|simulation|optimization,asset-condition|financial-cost|geographic-identity|health-outcome|operating-capacity|real-time-state,design-only,blocked-missing-source,,0,false,sha256:114d4756f8f007d6eb0c2b7f3542eb588e85e63cdec251098f68cec9ea77a274,sha256:078730a0c2068b2c02d89aa2f1d138d380caae5bc6999245e1d11da224f6c99d
104,scenario.health.infectious-operations.outreach-access-effect.v1,population-health-environmental-exposure,health.infectious-operations,evaluate,Evaluate targeted infectious-disease access strategies,phased mobile infectious-disease service and outreach,randomized encouragement or staggered access evaluation,change in verified eligible service completion,multi-year,population-group,equity,causal-identification,descriptive|causal,community-input|equity-attribute|geographic-identity|health-outcome|intervention-assignment|operating-capacity|outcome-panel,design-only,blocked-multiple-gates,,0,false,sha256:bc2453f7e0a068dd2ed86aa2fc21dfca43b6237f0e24b1eca7aa834ada42e304,sha256:eea580805d8dc426dea1c6648173cd387779cce1a596d6b4abae79b1078c851f
105,scenario.health.food-environment.food-environment-gaps.v1,population-health-environmental-exposure,health.food-environment,diagnose,Diagnose food-access and environmental-health service gaps,food-access and environmental-health service gaps,"retail-access, inspection, price, and service triangulation",people in high-need low-service conditions,annual,neighborhood,technical,geographic-alignment,descriptive,demographic-context|equity-attribute|facility-inventory|geographic-identity|housing-market|municipal-demand,design-only,blocked-missing-source,,0,false,sha256:6c506b3a1989b9f53931a1e6f8599fbfd24cc434cba96488bb4205a398018b84,sha256:d5560f54ad3b84b2df3cd46997021de51e53d502b6fb79ab0e753affff33785c
106,scenario.health.food-environment.inspection-assistance-demand.v1,population-health-environmental-exposure,health.food-environment,forecast,Forecast inspection and food-assistance service demand,environmental-health inspection and food-assistance demand,seasonal event- and market-conditioned workload forecasting,priority service demand above staffed capacity,weeks,service-area,capacity,model-calibration,forecast,climate-hazard|demographic-context|facility-inventory|geographic-identity|municipal-demand|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:9fbb1d6e726bec5476d63988ed3d88b5ded3d4bfb9e84ce61f51d73497611a61,sha256:98b5d7bd25db1c5aad9acbb0727cfdba72b28dd858cd92f33399c1808c6c17c0
107,scenario.health.food-environment.food-health-portfolio.v1,population-health-environmental-exposure,health.food-environment,prioritize,Prioritize food-access and environmental-health investments,food-access and environmental-health investment portfolio,"access-, risk-, equity-, and lifecycle portfolio optimization",population-weighted food and environmental service gap,multi-year,asset,budget,cost-capacity,descriptive|optimization,asset-condition|demographic-context|equity-attribute|facility-inventory|financial-cost|geographic-identity,design-only,blocked-missing-source,,0,false,sha256:7924ce2a469d6d37bbc402cc16083ac06d771b94385b9ccdf1a6e5cf7d90597f,sha256:2162ea75f9be6f937dd65b5edc473b242d61450fd8960ec29d5746047c1419e5
108,scenario.health.food-environment.food-access-services.v1,population-health-environmental-exposure,health.food-environment,site,Site food-access and environmental-health service points,food-access and environmental-health service locations,capacitated multi-service access location-allocation,eligible people beyond affordable timely service access,multi-year,facility,regulatory,legal-authority,simulation|optimization,demographic-context|equity-attribute|facility-inventory|geographic-identity|land-parcel|transport-network,design-only,blocked-missing-source,,0,false,sha256:6e736562003ad5397b5b986855fd077e1a10fbc7a804bf4a255a3f981a874705,sha256:8cf95520b77a3c1d0bb3a937b6d7109fc3659f6fd0cbee0ae414eaff7acbe794
109,scenario.health.food-environment.inspection-assistance-resources.v1,population-health-environmental-exposure,health.food-environment,allocate,"Allocate inspectors, food support, and field resources",environmental-health inspection and food-support resources,risk-tiered minimum-access resource allocation,priority cases and eligible demand without assigned capacity,weeks,service-area,equity,equity-measurement,simulation|optimization,demographic-context|equity-attribute|facility-inventory|geographic-identity|municipal-demand|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:458f7a60217f3dc23680c587b74f10cd1a60f0e286631351ecebb92efd35c3e1,sha256:10039af612ee0bfdaa5f6535cbc243356be17e7bed1f4d336f44aff935b840c3
110,scenario.health.food-environment.inspection-mobile-service.v1,population-health-environmental-exposure,health.food-environment,schedule,Schedule inspections and mobile food services,environmental-health inspection and mobile food-service schedule,"risk-, travel-, perishability-, and capacity-constrained scheduling",priority case-days outside response targets,weeks,network,time,temporal-alignment,forecast|optimization,demographic-context|facility-inventory|geographic-identity|operating-capacity|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:db2b524f0e0d2c5f1ffedbd815a39a35a273be5111ce335f13e22383075378fe,sha256:c04c8654520d3bb2ce418a87fe720e062c08856f164033fad4427c3c4f997794
111,scenario.health.food-environment.food-system-disruption.v1,population-health-environmental-exposure,health.food-environment,stress-test,Stress-test food and environmental-health continuity,food-access and environmental-health continuity under disruption,"supply, cold-chain, facility, demand, and workforce failure simulation",scenario-weighted people below minimum safe food access,seasonal,network,risk,external-validation,forecast|simulation|optimization,asset-condition|climate-hazard|demographic-context|facility-inventory|geographic-identity|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:7a25dc4bbcdc43784b243baa14b91aaa29d6f3940e8329d2bd2a6bf79f8c5079,sha256:516db67611b4f7003f7e9fdb597118aaeb6cfa2f0d6890a1f4bc909476fcebf4
112,scenario.health.food-environment.mobile-food-access-effect.v1,population-health-environmental-exposure,health.food-environment,evaluate,Evaluate mobile food-access and benefit-navigation programs,phased mobile food-access and benefit-navigation program,staggered rollout evaluation with eligible-population panels,change in verified affordable food-service completion,multi-year,population-group,equity,causal-identification,descriptive|causal,community-input|demographic-context|equity-attribute|facility-inventory|geographic-identity|housing-market|intervention-assignment|outcome-panel,design-only,blocked-multiple-gates,,0,false,sha256:734e36bf62ef1aabda5f549acbb39a4a40b546a5f61a29761321bd249fdc6730,sha256:ca424ef8050c6b2b2b37a09c89bb5d659d656e3fd0e4b7f64b5e88396e43addf
113,scenario.housing.habitability-code.habitability-signals.v1,housing-land-use-regeneration,housing.habitability-code,diagnose,Diagnose unresolved housing habitability signals,building-level unresolved habitability signals,longitudinal complaint-inspection-repair reconciliation,high-priority buildings with unresolved verified conditions,annual,asset,technical,geographic-alignment,descriptive,asset-condition|equity-attribute|geographic-identity|housing-market|land-parcel|municipal-demand,design-only,blocked-missing-source,,0,false,sha256:43b00935854ee5b0ac3ccdc2c44db8128c53b0f73e7ca57b449d50aa241f91f3,sha256:fb2e99691b9b8971e402048dfebda6f5a8cbae8a4169e977a0357f109d46a259
114,scenario.housing.habitability-code.inspection-repair-demand.v1,housing-land-use-regeneration,housing.habitability-code,forecast,Forecast housing inspection and emergency-repair demand,housing inspection and emergency-repair workload,building-history and weather-conditioned case forecasting,priority cases above verified response capacity,weeks,service-area,capacity,model-calibration,forecast,asset-condition|climate-hazard|geographic-identity|housing-market|municipal-demand|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:18b99a2bed677da3121e73e614317c3ceb1220b54e776bcb40ac658e7ecc8428,sha256:4c3a46dfb8856f62e28d881c9fba8ec03950723adb0c77b0a068a2298f32d186
115,scenario.housing.habitability-code.habitability-interventions.v1,housing-land-use-regeneration,housing.habitability-code,prioritize,Prioritize habitability inspection and repair interventions,housing habitability intervention portfolio,"severity-, vulnerability-, evidence-, and deliverability-weighted prioritization",verified severe condition-days unresolved,multi-year,asset,budget,cost-capacity,descriptive|optimization,asset-condition|equity-attribute|financial-cost|geographic-identity|housing-market|municipal-demand,reference-implemented,reference-implemented,deep.housing.request-triage.v1,0,false,sha256:17b68c23fc7ef6fbf9bbb6a5bfaf63a1232f62c9160d65a0f38561e6a47143e5,sha256:fa42a1bb3e529b98a995da471c1366b36619c12f50257a2c1cbc3e21d33edec6
116,scenario.housing.habitability-code.tenant-service-access.v1,housing-land-use-regeneration,housing.habitability-code,site,Site tenant-support and emergency housing access points,tenant-support and emergency housing service locations,"need-, language-, transit-, and capacity-aware service siting",at-risk tenants beyond timely qualified support,multi-year,facility,regulatory,legal-authority,simulation|optimization,equity-attribute|facility-inventory|geographic-identity|housing-market|municipal-demand|transport-network,design-only,blocked-missing-source,,0,false,sha256:54d46698a540d3b8fd5a4056c2d7ebcd4737fc7ca60a3fe32e22a50036ba8647,sha256:06c1d32fcfac87756fb9ec41afc5f1e4c25233239e64c96526d76bfe532bd727
117,scenario.housing.habitability-code.inspectors-repair-support.v1,housing-land-use-regeneration,housing.habitability-code,allocate,Allocate housing inspectors and emergency repair support,"housing inspection, repair, and tenant-protection resources",severity and minimum-service constrained case allocation,verified priority households without assigned response capacity,weeks,service-area,equity,equity-measurement,simulation|optimization,equity-attribute|geographic-identity|housing-market|legal-regulatory|municipal-demand|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:d99f9bf91e986c2d9fe972b6956c89dd6b88d6f24b1ff57e6596481a0442e7a2,sha256:895ea1081e3288bf15b9252449daa9af09f33ade940a9cf76883c864b6156896
118,scenario.housing.habitability-code.inspection-enforcement-calendar.v1,housing-land-use-regeneration,housing.habitability-code,schedule,"Schedule housing inspections, follow-ups, and repairs","housing inspection, enforcement, and repair schedule","severity-, dependency-, and statutory-deadline scheduling",priority case-days beyond lawful response deadlines,weeks,asset,time,temporal-alignment,forecast|optimization,geographic-identity|housing-market|legal-regulatory|municipal-demand|operating-capacity|service-schedule,design-only,blocked-missing-source,,0,false,sha256:43c17446cd04c07c3c8c5f3197af35a55fe529db27f18e996a1bc72827a89716,sha256:25e171b007038c833d002bb5fc676b5ffd233defbcc07b5e01a5d1cc95a57f58
119,scenario.housing.habitability-code.housing-emergency-surge.v1,housing-land-use-regeneration,housing.habitability-code,stress-test,Stress-test housing response during extreme-condition surges,housing habitability response under extreme-condition surge,"case, facility, contractor, and relocation-capacity failure simulation",scenario-weighted priority households without timely protection,seasonal,network,risk,external-validation,forecast|simulation|optimization,climate-hazard|facility-inventory|geographic-identity|housing-market|municipal-demand|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:bb8dfcb8d9757995324b66ba048f0ba5a2dd5cc61c7557962584e3a44181e4c7,sha256:4affd18cfedb9b28d20671b0d342ab2acaa7b1a23bcd1d1cd057fb9d53d46707
120,scenario.housing.habitability-code.proactive-inspection-effect.v1,housing-land-use-regeneration,housing.habitability-code,evaluate,Evaluate proactive housing inspection and repair support,phased proactive inspection and repair-support program,staggered building-level evaluation with tenant outcome panels,change in verified severe condition duration,multi-year,asset,equity,causal-identification,descriptive|causal,asset-condition|equity-attribute|geographic-identity|housing-market|intervention-assignment|legal-regulatory|municipal-demand|outcome-panel,design-only,blocked-multiple-gates,,0,false,sha256:10e33d5d17b777a89b28b1aad4e40743507c740e80decd7f596aa1ad59fdfb54,sha256:cb8270cab3f8167624ad107a44b50ad9d83fd90ee4d95ea1401cd233346e712f
121,scenario.housing.homelessness-prevention.stability-service-gaps.v1,housing-land-use-regeneration,housing.homelessness-prevention,diagnose,Diagnose housing-instability and prevention-service gaps,housing-instability pathways and prevention-service gaps,privacy-preserving longitudinal pathway diagnosis,eligible households entering crisis without prior prevention access,annual,population-group,technical,geographic-alignment,descriptive,community-input|demographic-context|equity-attribute|housing-market|operating-capacity|outcome-panel,design-only,blocked-missing-source,,0,false,sha256:6643213efc97b1501fca35c46adab303242abd3e74a025f9f010bcf784b59cf9,sha256:05e2832778af2ac6014c81cba41f7517fdacaa3fb9a78e121008d8cbcc0cb83e
122,scenario.housing.homelessness-prevention.prevention-service-demand.v1,housing-land-use-regeneration,housing.homelessness-prevention,forecast,Forecast housing-stability service demand,housing-stability and homelessness-prevention demand,"market, court, season, and service-flow forecasting",priority household demand above prevention capacity,weeks,service-area,capacity,model-calibration,forecast,demographic-context|housing-market|municipal-demand|operating-capacity|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:df018b88f441f1d21f20d84f6b09cf18eea25b37fcc311d0936949af6da6c5f4,sha256:06911aa4b44d6cd0ae627df6bc1336c8bd5fff024b61bdb65aebe10690d651c6
123,scenario.housing.homelessness-prevention.stability-program-portfolio.v1,housing-land-use-regeneration,housing.homelessness-prevention,prioritize,Prioritize housing-stability prevention programs,housing-stability prevention program portfolio,"outcome-, equity-, cost-, and capacity-aware program prioritization",expected unresolved housing-stability crises,multi-year,service-area,budget,cost-capacity,descriptive|optimization,demographic-context|equity-attribute|financial-cost|housing-market|operating-capacity|outcome-panel,design-only,blocked-missing-source,,0,false,sha256:78d27da969d67ca86ea94ba1a1c48a2880120a7d5b4476bfc2ab769ad718718c,sha256:d09a7b553c8d2c2f70a139c5209a107a28fb0ef2948a35b249e576b08c519903
124,scenario.housing.homelessness-prevention.stability-access-hubs.v1,housing-land-use-regeneration,housing.homelessness-prevention,site,Site low-barrier housing-stability access hubs,low-barrier housing-stability service hubs,"need-, transit-, language-, privacy-, and capacity-aware hub siting",eligible households beyond timely prevention access,multi-year,facility,regulatory,legal-authority,simulation|optimization,demographic-context|equity-attribute|facility-inventory|housing-market|operating-capacity|transport-network,design-only,blocked-missing-source,,0,false,sha256:c0be006aaa4be62be63146fe4a68729e4c2a1bc44eae87151ae01f35cd02ffe1,sha256:f15d194fc2a70bb291de951ce6084d00427cf2baf6b7b7fc13157b35dfb19f13
125,scenario.housing.homelessness-prevention.prevention-assistance.v1,housing-land-use-regeneration,housing.homelessness-prevention,allocate,"Allocate rental, legal, diversion, and navigation assistance",housing-stability prevention assistance,rights-preserving eligibility and minimum-service allocation,eligible urgent households without assigned assistance,weeks,population-group,equity,equity-measurement,simulation|optimization,demographic-context|equity-attribute|housing-market|legal-regulatory|operating-capacity|real-time-state,design-only,blocked-missing-source,,0,false,sha256:ad107b0d623299486366a231ab2bcca97898d7bbc0167669d2cd8f436c1bbf2d,sha256:2e2bb9f89b871a63c55a37a7a0afd8418cd70646a5423d7db1b11586d579e275
126,scenario.housing.homelessness-prevention.prevention-caseflow.v1,housing-land-use-regeneration,housing.homelessness-prevention,schedule,Schedule prevention casework and legal deadlines,housing-stability prevention caseflow schedule,"deadline-, dependency-, and urgency-aware case scheduling",urgent household-days beyond actionable deadlines,weeks,service-area,time,temporal-alignment,forecast|optimization,demographic-context|housing-market|legal-regulatory|operating-capacity|real-time-state|service-schedule,design-only,blocked-missing-source,,0,false,sha256:bd94d65e7570735a31022732f08fa7b684faa66fdc5d8d86cd085808ab8e7b57,sha256:d74b686ac65ee96890ffd01d59f6226c93c35c3d7cf828d296330fc4fe1b3df4
127,scenario.housing.homelessness-prevention.housing-stability-surge.v1,housing-land-use-regeneration,housing.homelessness-prevention,stress-test,Stress-test housing-stability capacity under market shock,housing-stability prevention under compound market shock,"household-flow, funding, legal, and shelter-capacity simulation",scenario-weighted urgent households without timely prevention,seasonal,network,risk,external-validation,forecast|simulation|optimization,climate-hazard|demographic-context|facility-inventory|financial-cost|housing-market|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:c762f6009ac1fc64348d1371a3d3635b580099c197049853bc8bb18fe6ec1ffe,sha256:d55535a9ad7f02d081a4e40d25aacff26afc964e43a695629222d9aa3628efbf
128,scenario.housing.homelessness-prevention.rental-assistance-effect.v1,housing-land-use-regeneration,housing.homelessness-prevention,evaluate,Evaluate rental assistance and legal support,phased rental assistance and legal-support program,randomized lottery or quasi-random eligibility evaluation,change in verified stable housing retention,multi-year,population-group,equity,causal-identification,descriptive|causal,community-input|demographic-context|equity-attribute|housing-market|intervention-assignment|legal-regulatory|operating-capacity|outcome-panel,design-only,blocked-multiple-gates,,0,false,sha256:07dcec67b9fbebf418a097121c9f68a3920ba79887144b98dbf6fd4b7efb35b8,sha256:c3ff331d9a822fbe5a8ef6555cd33f22ed9bd66fd599eed00f6b49c66462f106
129,scenario.housing.affordable-supply.affordability-loss-risk.v1,housing-land-use-regeneration,housing.affordable-supply,diagnose,Diagnose affordable-housing loss and supply gaps,affordable-housing preservation risk and supply gaps,"property-level restriction, condition, finance, and market reconciliation",affordable homes at verified near-term loss risk,annual,parcel,technical,geographic-alignment,descriptive,asset-condition|equity-attribute|financial-cost|geographic-identity|housing-market|land-parcel,design-only,blocked-missing-source,,0,false,sha256:760df56edf6b758b4dde2fa47bf3de3295054382d3758b598d9bc00c04a5136c,sha256:2ee65f6e07ef7871370c7ac4a1af2ad19c054a32f06fa73dfed204d4dea52226
130,scenario.housing.affordable-supply.affordable-pipeline.v1,housing-land-use-regeneration,housing.affordable-supply,forecast,Forecast affordable-housing pipeline and preservation need,affordable-housing pipeline and preservation demand,project-stage survival and restriction-expiry forecasting,net affordable homes below adopted supply targets,weeks,citywide,capacity,model-calibration,forecast,financial-cost|geographic-identity|housing-market|land-parcel|legal-regulatory|real-time-state,design-only,blocked-missing-source,,0,false,sha256:a3c3c890f0bea2183712848a6415f119472b5a3458838acb8b73a17679e50f19,sha256:ddeb87ff6d89320e611f49b9f97501434bc6933c9b4a966f4e514c1884d0acdc
131,scenario.housing.affordable-supply.preservation-development-portfolio.v1,housing-land-use-regeneration,housing.affordable-supply,prioritize,Prioritize affordable-housing preservation and development,affordable-housing preservation and development portfolio,"unit-year, equity, access, risk, and subsidy portfolio optimization",affordable home-years lost relative to targets,multi-year,parcel,budget,cost-capacity,descriptive|optimization,asset-condition|equity-attribute|financial-cost|geographic-identity|housing-market|land-parcel,design-only,blocked-missing-source,,0,false,sha256:c270647f563e8682ffabb52c1ffbae18473b964935a30110d224c277b6f4014a,sha256:4b82d3a273cb9e153f2a27de1aa4346875e1d2f94238a4ca9fe2b7c0ae32c32b
132,scenario.housing.affordable-supply.affordable-housing-sites.v1,housing-land-use-regeneration,housing.affordable-supply,site,Site affordable housing with access and anti-displacement safeguards,affordable-housing development locations,"parcel feasibility, access, hazard, and displacement-aware siting",feasible affordable homes outside opportunity access,multi-year,parcel,regulatory,legal-authority,simulation|optimization,climate-hazard|equity-attribute|geographic-identity|housing-market|land-parcel|legal-regulatory|transport-network,design-only,blocked-missing-source,,0,false,sha256:2abdd3400e71da58a66c9b9a8e365b7010a43995afc7310480261f0c8321c322,sha256:4ba0f36a9c18954051162ae487a95e732200f712ef3c2cc048354e89e54a51e5
133,scenario.housing.affordable-supply.housing-subsidy.v1,housing-land-use-regeneration,housing.affordable-supply,allocate,Allocate housing subsidy and preservation capacity,affordable-housing subsidy and delivery capacity,"affordability-duration, need, leverage, and equity allocation",eligible affordable home-years without assigned subsidy,weeks,parcel,equity,equity-measurement,simulation|optimization,equity-attribute|financial-cost|geographic-identity|housing-market|land-parcel|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:777d03b2ad4feaeee413826ac0405d84dc74c80919475cb14914f7124280af10,sha256:0d090e208e9f63261a9b1587cabe62a8cb7bf74ff3747f63ff587351cdc560be
134,scenario.housing.affordable-supply.housing-pipeline-sequence.v1,housing-land-use-regeneration,housing.affordable-supply,schedule,Schedule affordable-housing pipeline and preservation actions,affordable-housing project and preservation schedule,"dependency-, expiry-, relocation-, and financing-window scheduling",affordable home-years lost to avoidable project delay,weeks,parcel,time,temporal-alignment,forecast|optimization,financial-cost|geographic-identity|housing-market|land-parcel|legal-regulatory|service-schedule,design-only,blocked-missing-source,,0,false,sha256:51f9a90fafe725060b793acc7628eda614052e458bbe3f63e125b307a9d85a6e,sha256:ecd3df03fc37a6946797e4e3b122fec540b807215aee00ed5882105c91bdee57
135,scenario.housing.affordable-supply.housing-finance-shock.v1,housing-land-use-regeneration,housing.affordable-supply,stress-test,Stress-test affordable-housing delivery under finance and cost shocks,affordable-housing portfolio under financing and delivery shock,"project-level finance, cost, delay, and attrition simulation",scenario-weighted affordable home-years not delivered or preserved,seasonal,citywide,risk,external-validation,forecast|simulation|optimization,asset-condition|financial-cost|geographic-identity|housing-market|land-parcel|operating-capacity,design-only,blocked-missing-source,,0,false,sha256:9b5e49f039ec4a2f6e8cb1c4fdce922f2dceff0872ec90894a81bf4b10730477,sha256:485a1da96a7f264a694d1200fd5d12e1208165a8599b8bc8ce5e3dd2998d2004
136,scenario.housing.affordable-supply.preservation-program-effect.v1,housing-land-use-regeneration,housing.affordable-supply,evaluate,Evaluate affordable-housing preservation interventions,phased affordable-housing acquisition and rehabilitation,matched property event-study with tenant and restriction panels,change in verified affordable home-years and tenant retention,multi-year,parcel,equity,causal-identification,descriptive|causal,asset-condition|equity-attribute|geographic-identity|housing-market|intervention-assignment|land-parcel|legal-regulatory|outcome-panel,design-only,blocked-multiple-gates,,0,false,sha256:bfec72e4199c873f19cbcd39a88a4626775ff7bc7be7ea624a7f4ec096ed86f6,sha256:b425da0d91ee16d0e5a8ffde4daaf2cbaeef7e6976af3fe6c6d6d9fad6e33711
137,scenario.housing.land-use-regeneration.land-use-friction.v1,housing-land-use-regeneration,housing.land-use-regeneration,diagnose,"Diagnose land-use capacity, vacancy, and community-asset friction",parcel-level regeneration opportunities and community risks,"zoning, parcel, infrastructure, market, and community-asset diagnosis",priority parcels with unresolved feasibility and community-risk conflicts,annual,parcel,technical,geographic-alignment,descriptive,asset-inventory|climate-hazard|community-input|geographic-identity|housing-market|land-parcel,design-only,blocked-missing-source,,0,false,sha256:78aae751b665ccea05bd4ea9a2b220bd62d5b85c413ac068085fe4c2ad10fd0e,sha256:121c42003f1d617d680ae1f530034180eb19b584c55bf67c6650dd288ace635b
